Betreiber,Anzeigename,Status,Art der Ladeeinrichtung,Anzahl Ladepunkte,Nennleistung [kW],Inbetriebnahmedatum,Straße,Hausnummer,PLZ,Ort,Volladresse,location,Latitude,Longitude,Stadtteil,Begründung
,AC-0136,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0777016,8.4112089,Neureut,AC score=55; ist_ac=3
,AC-0137,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9545827,8.452798,Grünwettersbach,AC score=55; ist_ac=0
,AC-0138,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.95569677142857,8.4603175,Grünwettersbach,AC score=55; ist_ac=0
,AC-0139,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9596004,8.4604372,Grünwettersbach,AC score=55; ist_ac=0
,AC-0140,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.048986,8.4303125,Waldstadt,AC score=55; ist_ac=6
,AC-0141,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9969711,8.2943265,Daxlanden,AC score=55; ist_ac=0
,AC-0142,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9599602,8.4628044,Grünwettersbach,AC score=55; ist_ac=0
,AC-0143,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.045413,8.4552102,Hagsfeld,AC score=55; ist_ac=10
,AC-0144,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9643569,8.4646951,Grünwettersbach,AC score=55; ist_ac=0
,AC-0145,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.04668115,8.4346399,Waldstadt,AC score=55; ist_ac=6
,AC-0146,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9985167,8.2941909,Daxlanden,AC score=55; ist_ac=0
,AC-0147,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0516568,8.4253846,Waldstadt,AC score=55; ist_ac=6
,AC-0148,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9581608,8.4655455,Grünwettersbach,AC score=55; ist_ac=0
,AC-0149,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.01663165,8.521592,Grötzingen,AC score=55; ist_ac=4
,AC-0150,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.016020049999995,8.5210269,Grötzingen,AC score=55; ist_ac=4
,AC-0151,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9576263,8.4665777,Grünwettersbach,AC score=55; ist_ac=0
,AC-0152,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.01668935,8.5206935,Grötzingen,AC score=55; ist_ac=4
,AC-0153,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9993569,8.2970005,Daxlanden,AC score=55; ist_ac=0
,AC-0154,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9719548,8.4763625,Hohenwettersbach,AC score=55; ist_ac=2
,AC-0155,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9579258,8.4675587,Grünwettersbach,AC score=55; ist_ac=0
,AC-0156,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9726744,8.4789386,Hohenwettersbach,AC score=55; ist_ac=2
,AC-0157,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9565759,8.468072,Grünwettersbach,AC score=55; ist_ac=0
,AC-0158,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9573953,8.4681814,Grünwettersbach,AC score=55; ist_ac=0
,AC-0159,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0356383,8.4725293,Grötzingen,AC score=55; ist_ac=4
,AC-0160,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9648995,8.470909,Hohenwettersbach,AC score=55; ist_ac=2
,AC-0161,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9702248,8.4447026,Wolfartsweier,AC score=55; ist_ac=0
,AC-0162,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.96421425,8.470807449999999,Hohenwettersbach,AC score=55; ist_ac=2
,AC-0163,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.95554619999999,8.470109233333334,Grünwettersbach,AC score=55; ist_ac=0
,AC-0164,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9565605,8.4698457,Grünwettersbach,AC score=55; ist_ac=0
,AC-0165,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9708934,8.4439484,Wolfartsweier,AC score=55; ist_ac=0
